Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),grouping,Instrument,LibraryLayout,LibrarySelection,LibrarySource,molecule_subtype,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue_sample_type
SRR14819350,miRNA-Seq,50,58081500,PRJNA737991,SAMN19713998,22420022,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149964,GSM5385678,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385678,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819351,miRNA-Seq,50,57397100,PRJNA737991,SAMN19713998,22148272,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149964,GSM5385678,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385678,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819352,miRNA-Seq,50,57613200,PRJNA737991,SAMN19713998,22155622,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149964,GSM5385678,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385678,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819353,miRNA-Seq,50,57793200,PRJNA737991,SAMN19713998,22132461,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149964,GSM5385678,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385678,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819354,miRNA-Seq,50,66975150,PRJNA737991,SAMN19713997,26537389,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149965,GSM5385679,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385679,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819355,miRNA-Seq,50,66198400,PRJNA737991,SAMN19713997,26228839,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149965,GSM5385679,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385679,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819356,miRNA-Seq,50,65946750,PRJNA737991,SAMN19713997,26061433,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149965,GSM5385679,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385679,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819357,miRNA-Seq,50,66422400,PRJNA737991,SAMN19713997,26140965,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149965,GSM5385679,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385679,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819358,miRNA-Seq,50,38545450,PRJNA737991,SAMN19714024,14783545,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149966,GSM5385680,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385680,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
SRR14819359,miRNA-Seq,50,37868250,PRJNA737991,SAMN19714024,14519575,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11149966,GSM5385680,Severe,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,microRNA,Homo sapiens,ILLUMINA,2022-04-10T00:00:00Z,GSM5385680,EDTA Platelet Depleted Plasma_Severe,SRP324141,EDTA Platelet Depleted Plasma
