GSM5385678	1656-A029859
GSM5385679	1656-A029860
GSM5385680	1656-A029863
GSM5385681	1656-A029865
GSM5385682	1656-A029869
GSM5385683	1656-A029872
GSM5385684	1656-A029878
GSM5385685	1656-A029879
GSM5385686	1656-A029883
GSM5385687	1656-A029885
GSM5385688	1656-A029886
GSM5385689	1656-A029890
GSM5385690	1656-A029891
GSM5385691	1656-A029892
GSM5385692	1656-A029893
GSM5385693	1656-A029894
GSM5385694	1656-A029898
GSM5385695	1656-A029899
GSM5385696	1656-A029900
GSM5385697	1656-A029901
GSM5385698	1656-A029902
GSM5385699	1656-A029906
GSM5385700	1656-A029909
GSM5385701	1656-A029911
GSM5385702	1656-A029915
GSM5385703	1656-A029917
GSM5385704	1656-A029918
GSM5385705	1656-A029919
GSM5385706	1656-A029922
GSM5385707	1656-A029923
GSM5385708	1656-A029925
GSM5385709	1656-A029926
GSM5385710	1656-A029927
GSM5385711	1656-A029931
GSM5385712	1656-A029933
GSM5385713	1656-A029934
GSM5385714	1656-A029935
GSM5385715	1656-A029937
GSM5385716	1656-A029938
GSM5385717	1656-A029939
GSM5385718	1656-A029940
GSM5385719	1656-A029943
GSM5385720	1656-A029944
GSM5385721	1656-A029945
GSM5385722	1656-A029946
GSM5385723	1656-A029947
GSM5385724	1656-A029948
GSM5385725	1656-A029952
GSM5385726	1656-A029956
GSM5385727	1656-A029957
GSM5385728	1656-A029959
GSM5385729	1656-A029961
GSM5385730	1656-A029962
GSM5385731	1656-A029963
GSM5385732	1656-A029967
GSM5385733	1656-A029968
GSM5385734	1656-bRNA_1
GSM5385735	1656-bRNA_2
GSM5385736	1656-bRNA_3
GSM5385737	1657-A029861
GSM5385738	1657-A029862
GSM5385739	1657-A029864
GSM5385740	1657-A029866
GSM5385741	1657-A029867
GSM5385742	1657-A029868
GSM5385743	1657-A029870
GSM5385744	1657-A029871
GSM5385745	1657-A029873
GSM5385746	1657-A029874
GSM5385747	1657-A029875
GSM5385748	1657-A029876
GSM5385749	1657-A029877
GSM5385750	1657-A029880
GSM5385751	1657-A029881
GSM5385752	1657-A029882
GSM5385753	1657-A029884
GSM5385754	1657-A029887
GSM5385755	1657-A029888
GSM5385756	1657-A029889
GSM5385757	1657-A029895
GSM5385758	1657-A029896
GSM5385759	1657-A029897
GSM5385760	1657-A029903
GSM5385761	1657-A029904
GSM5385762	1657-A029905
GSM5385763	1657-A029907
GSM5385764	1657-A029908
GSM5385765	1657-A029910
GSM5385766	1657-A029912
GSM5385767	1657-A029913
GSM5385768	1657-A029914
GSM5385769	1657-A029916
GSM5385770	1657-A029920
GSM5385771	1657-A029921
GSM5385772	1657-A029924
GSM5385773	1657-A029928
GSM5385774	1657-A029929
GSM5385775	1657-A029930
GSM5385776	1657-A029932
GSM5385777	1657-A029936
GSM5385778	1657-A029941
GSM5385779	1657-A029942
GSM5385780	1657-A029949
GSM5385781	1657-A029950
GSM5385782	1657-A029951
GSM5385783	1657-A029953
GSM5385784	1657-A029954
GSM5385785	1657-A029955
GSM5385786	1657-A029958
GSM5385787	1657-A029960
GSM5385788	1657-A029964
GSM5385789	1657-A029965
GSM5385790	1657-A029966
GSM5385791	1657-A029969
GSM5385792	1657-bRNA_4
GSM5385793	1657-bRNA_5
GSM5385794	1657-bRNA_6
GSM5385795	1756-A033630
GSM5385796	1756-A033631
GSM5385797	1756-A033632
GSM5385798	1756-A033633
GSM5385799	1756-A033634
GSM5385800	1756-A033635
GSM5385801	1756-A033636
GSM5385802	1756-A033637
GSM5385803	1756-A033638
GSM5385804	1756-A033639
GSM5385805	1756-A033640
GSM5385806	1756-A033641
GSM5385807	1756-A033642
GSM5385808	1756-A033643
GSM5385809	1756-A033644
GSM5385810	1756-A033645
GSM5385811	1756-A033646
GSM5385812	1756-A033647
GSM5385813	1756-A033648
GSM5385814	1756-A033649
GSM5385815	1756-A033650
GSM5385816	1756-A033651
GSM5385817	1756-A033652
GSM5385818	1756-A033653
GSM5385819	1756-A033654
GSM5385820	1756-A033655
GSM5385821	1756-A033656
GSM5385822	1756-A033657
GSM5385823	1756-A033658
GSM5385824	1756-A033659
GSM5385825	1756-A033660
GSM5385826	1756-A033661
GSM5385827	1756-A033662
GSM5385828	1756-A033663
GSM5385829	1756-A033664
GSM5385830	1756-A033665
GSM5385831	1756-A033666
GSM5385832	1756-A033667
GSM5385833	1756-A033668
GSM5385834	1756-A033669
GSM5385835	1756-A033670
GSM5385836	1756-A033671
GSM5385837	1756-A033672
GSM5385838	1756-A033673
GSM5385839	1756-A033674
GSM5385840	1756-bRNA_1
GSM5385841	1756-bRNA_2
GSM5385842	1756-bRNA_3
