miRNA	Precursor	63aNF	65NF	53TF	63bTF	59TF	64NF	46TF	50NF	55TF	44TF	57NF	55NF	53NF	50TF	64TF	39TF	59NF	63aTF	39NF	63bNF	46NF	65TF	44NF	57TF
hsa-let-7a-5p	hsa-let-7a-1	67949	152050	77442	125601	120674	291912	32040	169350	126621	102469	328695	192844	207270	140267	92894	194459	205795	10024	221544	173672	112774	205646	82867	382186
hsa-let-7a-3p	hsa-let-7a-1	301	799	134	320	269	691	65	461	298	218	1210	604	744	310	198	429	1058	21	641	658	441	558	102	1342
hsa-let-7a-5p	hsa-let-7a-2	68188	152598	77815	126077	120972	292808	32197	169919	127100	102791	329697	193518	207908	140754	93235	195139	206483	10053	222269	174231	113176	206304	83162	383314
hsa-let-7a-2-3p	hsa-let-7a-2	4	2	1	3	0	1	1	4	1	1	4	2	6	0	0	5	3	0	6	6	3	1	0	7
hsa-let-7a-5p	hsa-let-7a-3	68001	152156	77462	125634	120653	291916	32055	169304	126656	102488	328458	192745	207160	140245	92978	194664	205829	10043	221596	173680	112840	205839	82810	382414
hsa-let-7a-3p	hsa-let-7a-3	299	797	134	317	268	686	65	460	295	218	1208	599	742	310	198	429	1055	21	638	657	441	555	102	1329
hsa-let-7b-5p	hsa-let-7b	17096	35272	15661	20774	25259	61975	6323	49281	25860	21163	79318	49034	53200	29636	16948	44920	53461	2315	61351	32207	26919	48968	23276	76552
hsa-let-7b-3p	hsa-let-7b	337	633	332	396	438	1145	149	761	401	379	1476	805	1075	480	245	791	938	38	956	737	455	696	364	1613
hsa-let-7c-5p	hsa-let-7c	8825	18435	7397	12632	17019	28469	4703	20779	14087	12370	34583	22053	22963	10291	8465	15846	22352	1124	24864	16115	11681	8218	10772	49875
hsa-let-7c-3p	hsa-let-7c	20	24	8	11	10	25	10	13	10	9	57	21	21	11	6	8	17	0	20	24	26	4	4	67
hsa-let-7d-5p	hsa-let-7d	2102	3951	2891	5376	4518	6767	1344	5405	6769	4644	9890	5597	6963	5763	4086	8325	7034	309	7236	5080	3720	3353	2587	12880
hsa-let-7d-3p	hsa-let-7d	524	1010	595	892	792	1008	308	855	1116	872	1468	987	1311	912	687	1352	1371	55	1321	1012	692	709	474	2055
hsa-let-7e-5p	hsa-let-7e	3872	7872	4997	6866	6908	15388	1948	11417	9550	5610	20251	11878	13728	6990	6469	6903	14099	559	14120	9761	7368	6546	6506	22579
hsa-let-7e-3p	hsa-let-7e	70	140	44	59	72	166	25	104	102	39	218	158	160	52	53	66	168	7	166	113	98	68	89	230
hsa-let-7f-5p	hsa-let-7f-1	55353	145742	61863	121000	102105	167442	29390	100395	149567	93666	217011	132892	140856	110109	105641	156259	158421	6626	135426	117579	83614	143632	46997	280052
hsa-let-7f-1-3p	hsa-let-7f-1	36	137	25	63	57	117	8	109	87	52	189	105	123	70	68	102	148	3	124	101	62	82	35	250
hsa-let-7f-5p	hsa-let-7f-2	56329	148454	63422	123419	104608	170999	30246	102340	152774	95899	222558	136021	144276	112650	107499	159201	161752	6741	138286	120592	85401	145207	48047	286974
hsa-let-7f-2-3p	hsa-let-7f-2	125	291	46	137	124	209	17	94	182	111	385	225	259	144	101	134	304	7	165	236	120	257	38	584
hsa-let-7g-5p	hsa-let-7g	13566	34483	10750	18655	19079	48954	4092	26874	27759	14810	55655	36372	37913	23125	28390	27891	41136	1257	35578	31994	21070	37040	12118	53102
hsa-let-7g-3p	hsa-let-7g	39	82	9	32	13	44	2	35	32	15	95	35	65	30	14	40	106	2	51	30	27	80	7	129
hsa-let-7i-5p	hsa-let-7i	10256	26973	11805	21865	24414	35253	6362	15248	51746	19201	25344	21056	16039	20432	38385	40150	24350	2247	20804	10892	8412	87401	10075	67370
hsa-let-7i-3p	hsa-let-7i	61	253	33	167	122	253	24	144	292	91	316	148	193	190	301	365	309	5	209	103	76	626	39	828
hsa-miR-1-3p	hsa-mir-1-1	6	34	1	9	79	19	2	20	5	0	48	11	14	1	7	34	36	0	22	13	12	16	2	36
hsa-miR-1-5p	hsa-mir-1-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1-3p	hsa-mir-1-2	6	37	1	10	87	19	2	20	5	0	48	11	14	1	7	34	37	0	24	13	12	16	2	36
hsa-miR-100-5p	hsa-mir-100	13349	24161	791	11247	9813	12071	3686	16836	10795	3777	21690	11339	16959	15749	1430	10551	21262	679	14137	9260	10605	15816	4607	19152
hsa-miR-100-3p	hsa-mir-100	33	36	1	44	32	28	6	47	35	15	69	42	36	38	2	46	79	4	24	37	23	59	12	100
hsa-miR-101-5p	hsa-mir-101-1	77	159	28	208	105	150	38	120	77	133	294	156	179	164	117	166	201	5	137	106	87	164	31	653
hsa-miR-101-3p	hsa-mir-101-1	16885	54617	9101	39168	24142	33925	6017	25362	23388	22313	74611	34554	39537	42296	32587	39085	56357	1340	27503	24293	22636	48119	5409	171967
hsa-miR-101-3p	hsa-mir-101-2	17373	56090	9444	40060	24780	35098	6279	26211	24026	22901	77070	35633	40868	43373	33176	39997	57951	1376	28489	25012	23310	49253	5628	175907
hsa-miR-103a-3p	hsa-mir-103a-1	9447	24030	11031	17963	12184	24840	2694	16821	32966	14759	28583	14991	24022	15751	31622	24141	27750	1283	23561	13790	12182	37887	6818	57303
hsa-miR-103a-2-5p	hsa-mir-103a-2	4	31	2	9	4	11	0	32	11	9	17	7	22	13	7	12	32	1	19	8	7	16	1	35
hsa-miR-103a-3p	hsa-mir-103a-2	9482	24103	11073	18027	12235	24905	2706	16883	33106	14820	28662	15060	24107	15821	31711	24248	27833	1288	23652	13850	12232	38029	6837	57524
hsa-miR-103b	hsa-mir-103b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-103b	hsa-mir-103b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-105-5p	hsa-mir-105-1	0	2	0	0	0	0	0	0	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	hsa-mir-105-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	hsa-mir-105-2	0	2	0	0	0	0	0	0	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	hsa-mir-105-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	hsa-mir-106a	43	247	13	44	27	182	3	167	47	11	428	204	489	16	82	20	261	3	217	137	142	96	54	170
hsa-miR-106a-3p	hsa-mir-106a	2	7	0	0	1	5	0	0	1	0	17	5	6	0	1	1	10	0	5	8	2	3	3	3
hsa-miR-106b-5p	hsa-mir-106b	334	928	373	1246	604	829	134	431	1346	810	1196	506	842	1049	1885	1378	1078	44	773	383	384	2122	166	3274
hsa-miR-106b-3p	hsa-mir-106b	206	424	493	898	546	613	132	212	1291	497	541	376	409	837	1866	876	451	36	420	254	203	1817	177	1453
hsa-miR-107	hsa-mir-107	3810	6142	2343	4647	2529	4218	576	5261	6551	3815	9602	4495	9590	4818	12348	6549	11274	162	7933	4708	5358	4946	1201	21847
hsa-miR-10a-5p	hsa-mir-10a	280921	1031008	47143	79045	231124	1275005	52866	668461	151040	155735	1443962	885165	1062666	95538	192311	112075	1027560	37480	783430	428523	404839	223076	408041	1130386
hsa-miR-10a-3p	hsa-mir-10a	154	442	54	66	178	696	35	310	108	136	764	518	540	73	173	99	613	28	516	274	268	154	271	720
hsa-miR-10b-5p	hsa-mir-10b	995261	2791470	226480	752191	554021	2144581	154897	1741149	836035	425064	4017546	2012415	3465085	705922	555027	678470	3322827	68028	2268043	1495245	1540775	748279	631272	2447773
hsa-miR-10b-3p	hsa-mir-10b	230	449	46	196	148	411	40	407	207	147	764	406	706	152	173	186	756	16	509	321	364	154	120	592
hsa-miR-1178-5p	hsa-mir-1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-3p	hsa-mir-1178	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	hsa-mir-1179	1	2	1	1	4	2	1	2	2	0	6	2	1	5	2	3	4	0	0	2	1	5	1	1
hsa-miR-1180-5p	hsa-mir-1180	1	1	0	3	1	1	0	1	0	1	3	1	3	2	1	0	3	0	1	1	0	2	1	4
hsa-miR-1180-3p	hsa-mir-1180	147	314	86	378	233	328	21	260	307	231	425	303	351	258	176	173	368	3	328	194	192	170	133	591
hsa-miR-1181	hsa-mir-1181	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	hsa-mir-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	hsa-mir-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	hsa-mir-1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	hsa-mir-1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	hsa-mir-1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	hsa-mir-1185-1	6	12	0	2	3	14	2	5	6	0	13	11	11	2	5	5	20	0	17	13	5	15	1	11
hsa-miR-1185-1-3p	hsa-mir-1185-1	3	14	4	8	6	9	3	1	10	5	8	6	12	5	1	12	8	1	6	9	5	18	1	17
hsa-miR-1185-5p	hsa-mir-1185-2	6	12	0	2	3	14	2	5	6	0	13	11	11	2	5	5	20	0	17	13	5	15	1	11
hsa-miR-1185-2-3p	hsa-mir-1185-2	0	3	0	0	1	0	0	0	1	0	3	0	0	2	1	4	0	0	3	0	0	2	0	4
hsa-miR-1193	hsa-mir-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	hsa-mir-1197	2	6	0	1	0	2	0	0	3	0	10	1	1	0	2	3	0	0	3	9	1	2	0	4
hsa-miR-1199-5p	hsa-mir-1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-3p	hsa-mir-1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	hsa-mir-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	hsa-mir-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	hsa-mir-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	hsa-mir-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	hsa-mir-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	hsa-mir-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	hsa-mir-1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	hsa-mir-1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1208	hsa-mir-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	hsa-mir-122	1	1	38	321	572	0	23	5	421	196	3	4	0	547	67	246	1	5	3	18	2	140	0	2381
hsa-miR-122-3p	hsa-mir-122	0	0	2	21	16	0	2	0	30	13	0	0	0	21	3	12	0	1	0	0	0	10	0	103
hsa-miR-1224-5p	hsa-mir-1224	0	0	1	0	0	2	0	0	1	1	0	0	0	0	4	1	0	0	1	0	1	1	0	1
hsa-miR-1224-3p	hsa-mir-1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	hsa-mir-1225	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1225-3p	hsa-mir-1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-5p	hsa-mir-1226	0	0	0	1	0	1	0	1	0	0	1	0	2	0	0	0	2	0	2	0	0	1	0	1
hsa-miR-1226-3p	hsa-mir-1226	6	13	3	7	1	6	2	9	9	1	13	7	14	5	8	11	16	0	14	8	6	5	1	23
hsa-miR-1227-5p	hsa-mir-1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1227-3p	hsa-mir-1227	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-1228-5p	hsa-mir-1228	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	1	0	1	1	0	2	0	2
hsa-miR-1228-3p	hsa-mir-1228	1	3	3	12	6	4	2	1	40	11	6	1	1	14	10	17	4	0	3	0	1	11	5	25
hsa-miR-1229-5p	hsa-mir-1229	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1229-3p	hsa-mir-1229	2	6	3	14	9	2	0	7	4	10	7	5	7	10	8	22	15	0	9	6	5	9	1	54
hsa-miR-1231	hsa-mir-1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	hsa-mir-1233-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1233-3p	hsa-mir-1233-1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	2	0	0	1
hsa-miR-1233-5p	hsa-mir-1233-2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1233-3p	hsa-mir-1233-2	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	2	0	0	1
hsa-miR-1234-3p	hsa-mir-1234	1	1	1	4	0	1	0	1	4	0	2	3	3	1	0	0	2	0	5	4	2	0	2	3
hsa-miR-1236-5p	hsa-mir-1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1236-3p	hsa-mir-1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-5p	hsa-mir-1237	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-3p	hsa-mir-1237	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-1238-5p	hsa-mir-1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	hsa-mir-1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-5p	hsa-mir-124-1	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	1	3	0	0	1
hsa-miR-124-3p	hsa-mir-124-1	28	45	0	92	1	5	0	21	5	10	43	14	33	10	2	16	37	0	45	14	28	8	1	75
hsa-miR-124-5p	hsa-mir-124-2	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	1	3	0	0	1
hsa-miR-124-3p	hsa-mir-124-2	28	45	0	92	1	5	0	20	5	10	43	14	33	10	2	16	37	0	45	14	28	8	1	75
hsa-miR-124-5p	hsa-mir-124-3	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	1	2	0	0	1
hsa-miR-124-3p	hsa-mir-124-3	28	45	0	92	1	5	0	20	5	10	43	14	33	10	2	16	37	0	45	14	28	8	1	75
hsa-miR-1243	hsa-mir-1243	0	0	0	0	2	0	0	0	2	2	1	0	0	0	0	0	2	0	0	1	1	4	0	7
hsa-miR-1244	hsa-mir-1244-1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1244	hsa-mir-1244-2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1244	hsa-mir-1244-3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1244	hsa-mir-1244-4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1245a	hsa-mir-1245a	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-1245b-5p	hsa-mir-1245b	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0
hsa-miR-1245b-3p	hsa-mir-1245b	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1
hsa-miR-1246	hsa-mir-1246	0	47	0	5	5	3	2	0	4	2	9	3	2	1	4	1	5	0	4	1	0	56	0	2
hsa-miR-1247-5p	hsa-mir-1247	34	30	1	28	81	29	47	93	43	11	159	72	175	82	2	66	92	4	73	37	85	60	47	176
hsa-miR-1247-3p	hsa-mir-1247	1	2	0	3	6	0	3	6	2	0	15	1	30	3	0	6	0	1	6	3	5	0	1	3
hsa-miR-1248	hsa-mir-1248	11	56	3	4	19	27	4	85	20	14	52	30	57	1	8	20	47	0	159	13	40	32	26	16
hsa-miR-1249-5p	hsa-mir-1249	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1249-3p	hsa-mir-1249	7	6	37	68	42	51	15	37	145	61	41	24	32	75	53	100	34	2	43	13	9	28	22	136
hsa-miR-1250-5p	hsa-mir-1250	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	6
hsa-miR-1250-3p	hsa-mir-1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
